title,price,brand,source,link,image,search_query,page,is_gaming,date_scraped,brand_detected,ram_gb,storage_gb,price_category,log_price,price_per_gb_ram,price_scaled,log_price_scaled,cluster_id,cluster,anomaly_iqr,anomaly_iqr_type,anomaly_zscore,zscore_value,anomaly_zscore_type,anomaly_iforest,anomaly_iforest_score
Lenovo ThinkCentre Intel® Core™ i3 i3-7100T 8 Go DDR4-SDRAM 128 Go SSD Windows 10 Pro Mini PC Noir - Remis a Neuf -,1050.0,Lenovo,Jumia,https://www.jumia.ma/lenovo-thinkcentre-intelr-coretm-i3-i3-7100t-8-go-ddr4-sdram-128-go-ssd-windows-10-pro-mini-pc-noir-remis-a-neuf-67703128.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/130776/1.jpg?0934,desktop pc,40,False,2026-04-17 12:03:48,Lenovo,8.0,128.0,entrée_de_gamme,3.0211892990699383,131.25,-0.5137931034482759,-1.259027194206846,4,Entrée de gamme,False,normal,False,1.9858,normal,True,-0.6192
Lenovo Ordinateur de Bureau V520s SFF I5 6 th 256 SSD 8 Go RAM,1299.0,Lenovo,Jumia,https://www.jumia.ma/lenovo-ordinateur-de-bureau-v520s-sff-i5-6-th-256-ssd-8-go-ram-65643519.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/534656/1.jpg?6601,ordinateur portable,29,False,2026-04-17 11:41:28,Lenovo,8.0,8.0,entrée_de_gamme,3.1136091510730277,162.375,-0.4966206896551724,-1.1309107977109787,5,Milieu de gamme bas,False,normal,False,1.7811,normal,True,-0.6493
"DELL LATITUDE E5540 CORE I3-4030U (1,90Ghz)- RAM 4Go - 128Go SSD - Remis à Neuf",1299.0,DELL,Jumia,https://www.jumia.ma/dell-latitude-e5540-core-i3-4030u-190ghz-ram-4go-128go-ssd-remis-a-neuf-41368323.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/386314/1.jpg?5088,dell latitude,1,False,2026-04-17 11:59:47,Dell,4.0,128.0,entrée_de_gamme,3.1136091510730277,324.75,-0.4966206896551724,-1.1309107977109787,4,Entrée de gamme,False,normal,False,1.7811,normal,True,-0.6527
"DELL Ultrabook E7240 - 12.5"" - Intel Core i5 4ème Génération - 4GB RAM + 128GB SSD - Windows - AZERTY - Remis à neuf",1699.0,DELL,Jumia,https://www.jumia.ma/dell-ultrabook-e7240-12.5-intel-core-i5-4eme-generation-4gb-ram-128gb-ssd-windows-azerty-remis-a-neuf-44511398.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/311544/1.jpg?2801,ultrabook,1,False,2026-04-17 11:45:22,Dell,4.0,128.0,entrée_de_gamme,3.230193378869046,424.75,-0.4690344827586207,-0.9692966982534308,4,Entrée de gamme,False,normal,False,1.5228,normal,True,-0.6209
Hp ProBook 640 Core i3-6eme - 4Go RAM DDR4 - 128GB SSD Stockage -Remis à neuf - QWERTY,1760.0,Hp,Jumia,https://www.jumia.ma/probook-640-core-i3-6eme-4go-ram-ddr4-128gb-ssd-stockage-remis-a-neuf-qwerty-hp-mpg1413132.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/739316/1.jpg?3774,hp probook,2,False,2026-04-17 11:59:04,HP,4.0,128.0,entrée_de_gamme,3.24551266781415,440.0,-0.46482758620689657,-0.9480604372771623,4,Entrée de gamme,False,normal,False,1.4888,normal,True,-0.6146
"Hp Chromebook 11A G5 - 12"" HD - Intel Celeron N3060 - 4GB-16 GB eMMC-REMIS A NEUF",2199.0,Hp,Jumia,https://www.jumia.ma/hp-chromebook-11a-g5-12-hd-intel-celeron-n3060-4gb-16-gb-emmc-remis-a-neuf-67581303.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/318576/1.jpg?9652,chromebook,1,False,2026-04-17 11:45:35,HP,4.0,16.0,entrée_de_gamme,3.3422252293607904,549.75,-0.43455172413793103,-0.8139933011295502,5,Milieu de gamme bas,False,normal,False,1.2745,normal,True,-0.6494
"Sandisk SSD Plus SSD 2To, Disque SSD Interne, SATA III 2.5"",Vitesse de lecture jusqu'à 545MB/s,Mettez votre ordinateur à niveau avec un disque SSD rapide, avec des démarrage et des arrêts plus rapides",2290.0,Sandisk,Jumia,https://www.jumia.ma/sandisk-ssd-plus-ssd-2to-disque-ssd-interne-sata-iii-2.5vitesse-de-lecture-jusqua-545mbsmettez-votre-ordinateur-a-niveau-avec-un-disque-ssd-rapide-avec-des-demarrage-et-des-arrets-plus-rapides-67584402.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/448576/1.jpg?1439,ordinateur portable,41,False,2026-04-17 11:42:10,Sandisk,,2000.0,entrée_de_gamme,3.359835482339888,,-0.4282758620689655,-0.7895812067130045,3,Cluster 6,False,normal,False,1.2355,normal,True,-0.7135
SK Hynix RAM PC PORTABLE DDR4 32GB 3200MHZ,2800.0,SK,Jumia,https://www.jumia.ma/sk-hynix-ram-pc-portable-ddr4-32gb-3200mhz-67645765.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/754676/1.jpg?8852,pc portable,26,False,2026-04-17 11:38:02,Sk,32.0,,entrée_de_gamme,3.4471580313422194,87.5,-0.3931034482758621,-0.6685309121222003,0,Haut de gamme,False,normal,False,1.0419,normal,True,-0.6179
Crucial SO-DIMM DDR4 32Go 3200MHz CL22 – Mémoire RAM Haute Performance pour PC & Laptop »,2989.0,Crucial,Jumia,https://www.jumia.ma/crucial-so-dimm-ddr4-32go-3200mhz-cl22-memoire-ram-haute-performance-pour-pc-laptop-67590000.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/009576/1.jpg?6832,laptop,12,False,2026-04-17 11:46:22,Crucial,32.0,,entrée_de_gamme,3.4755259150392805,93.40625,-0.3800689655172414,-0.6292061246797811,0,Haut de gamme,False,normal,False,0.979,normal,True,-0.6129
"Hp PC Chromebook 14-db0023dx - 14"" HD - AMD A4-9120C - 4GB-32GB eMMC-REMIS A NEUF",3299.0,Hp,Jumia,https://www.jumia.ma/hp-pc-chromebook-14-db0023dx-14-hd-amd-a4-9120c-4gb-32gb-emmc-remis-a-neuf-62648011.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/084626/1.jpg?4011,chromebook,1,False,2026-04-17 11:45:35,HP,4.0,32.0,entrée_de_gamme,3.518382315545344,824.75,-0.3586896551724138,-0.5697967285314626,5,Milieu de gamme bas,False,normal,False,0.884,normal,True,-0.6448
Lenovo PC GAMER XEON E3-1225 V5 16Go / 256Go + 1To / Qudro P600 2Go ( Remis à Neuf ),4199.0,Lenovo,Jumia,https://www.jumia.ma/lenovo-pc-gamer-xeon-e3-1225-v5-16go-256go-1to-qudro-p600-2go-remis-a-neuf-57358368.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/385375/1.jpg?5146,pc gamer,1,True,2026-04-17 11:54:18,Lenovo,16.0,1000.0,milieu_de_gamme_bas,3.6231458746379395,262.4375,-0.2966206896551724,-0.42456895133726713,2,Premium,False,normal,False,0.6518,normal,True,-0.6751
Hp PC PORTABLE ELITEBOOK 840 G5 8ÉME GÉN-CORE I5-32Go-1000Go SSD-AZERTY-Remise à neuf,4499.0,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-elitebook-840-g5-8eme-gen-core-i5-32go-1000go-ssd-azerty-remise-a-neuf-66965297.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/256966/1.jpg?5047,pc portable,12,False,2026-04-17 11:36:52,HP,32.0,1000.0,milieu_de_gamme_bas,3.653115993165567,140.59375,-0.27593103448275863,-0.3830230766675556,2,Premium,False,normal,False,0.5854,normal,True,-0.744
"Hp EliteBook 830 G6 Core i7-8565U 32Go DDR4, 512Go SSD - Remis à neuf",4999.0,Hp,Jumia,https://www.jumia.ma/hp-elitebook-830-g6-core-i7-8565u-32go-ddr4-512go-ssd-remis-a-neuf-64223311.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/332246/1.jpg?8583,ultrabook,3,False,2026-04-17 11:45:29,HP,32.0,512.0,milieu_de_gamme_bas,3.69888313675259,156.21875,-0.24144827586206896,-0.3195786825553214,1,Milieu de gamme,False,normal,False,0.4839,normal,True,-0.6447
Hp EliteBook 830 G8 Core i7-1185G7 I 32Go I 512 Go NVMe I 13.3 IPS Full HD -Remis à Neuf,4999.0,Hp,Jumia,https://www.jumia.ma/hp-elitebook-830-g8-core-i7-1185g7-i-32go-i-512-go-nvme-i-13.3-ips-full-hd-remis-a-neuf-66018880.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/881066/1.jpg?1606,hp elitebook,4,False,2026-04-17 11:58:33,HP,32.0,512.0,milieu_de_gamme_bas,3.69888313675259,156.21875,-0.24144827586206896,-0.3195786825553214,1,Milieu de gamme,False,normal,False,0.4839,normal,True,-0.6447
"Acer Aspire 3 Ac315 I5-8256U, Linux, 4Go/1To, 15,6"" - Noir",5355.0,Acer,Jumia,https://www.jumia.ma/acer-aspire-3-ac315-i5-8256u-linux-4go1to-156-noir-67276356.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/367276/1.jpg?3050,acer aspire,1,False,2026-04-17 12:01:27,Acer,4.0,1000.0,milieu_de_gamme_bas,3.7287594751678745,1338.75,-0.21689655172413794,-0.2781628099338272,2,Premium,False,normal,False,0.4177,normal,True,-0.6984
"Hp EliteBook 830 G7 Core i7-10610U 32Go DDR4 , 512Go SSD Tactile - Remis à Neuf - QWERTY",5499.0,Hp,Jumia,https://www.jumia.ma/elitebook-830-g7-core-i7-10610u-32go-ddr4-512go-ssd-tactile-remis-a-neuf-qwerty-hp-mpg1413135.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/322206/1.jpg?2277,ultrabook,2,False,2026-04-17 11:45:26,HP,32.0,512.0,milieu_de_gamme_bas,3.7402837196818792,171.84375,-0.20696551724137932,-0.26218740370376536,1,Milieu de gamme,False,normal,False,0.3922,normal,True,-0.6507
Hp Pc Portable x360 ProBook 435 G8 Ryzen 7 Pro 5850U RAM 32Go DDR4 1Tb SSD QWERTY Tactile,5500.0,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-x360-probook-435-g8-ryzen-7-pro-5850u-ram-32go-ddr4-1tb-ssd-qwerty-tactile-67730404.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/403776/1.jpg?9767,pc portable,29,False,2026-04-17 11:38:15,HP,32.0,,milieu_de_gamme_bas,3.7403626894942437,171.875,-0.20689655172413793,-0.26207793233400223,0,Haut de gamme,False,normal,False,0.392,normal,True,-0.6137
Hp EliteBook 840 G8 I5- 11éme Génération RAM 32Go DDR4 1 Tb SSD QWERTY - REMIS A NEUF,5500.0,Hp,Jumia,https://www.jumia.ma/hp-elitebook-840-g8-i5-11eme-generation-ram-32go-ddr4-1-tb-ssd-qwerty-remis-a-neuf-67726099.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/062776/1.jpg?6342,hp elitebook,4,False,2026-04-17 11:58:33,HP,32.0,,milieu_de_gamme_bas,3.7403626894942437,171.875,-0.20689655172413793,-0.26207793233400223,0,Haut de gamme,False,normal,False,0.392,normal,True,-0.6137
