brand_detected,count,mean,median,std,min,max,p25,p75,cv
HP,300,6324.63,3599.0,9704.74,1099.0,94900.0,2349.75,5939.75,153.44
Table,154,21218.44,18262.5,10568.36,9900.0,75145.0,14900.0,24900.0,49.81
Lenovo,102,7833.52,3750.0,10998.05,1050.0,90000.0,2824.25,8974.25,140.4
Dell,80,10320.96,4399.5,16766.56,1299.0,96200.0,2774.25,11683.5,162.45
Apple,77,8471.79,4900.0,9268.68,1999.0,49900.0,2340.0,11000.0,109.41
Asus,33,15822.48,12900.0,15586.33,2090.0,57864.0,5934.0,16830.0,98.51
Acer,22,15456.07,10355.7,16973.64,5355.0,84500.0,8040.0,15204.25,109.82
Bureau,14,18499.89,18528.0,12350.55,1299.0,52000.0,13775.0,19800.0,66.76
Drop,14,14900.0,14900.0,0.0,14900.0,14900.0,14900.0,14900.0,0.0
Mini,10,13417.9,12400.0,5098.41,7979.0,24900.0,9900.0,14975.0,38.0
Mémoire,9,34133.33,31300.0,9388.56,23000.0,47600.0,28000.0,43900.0,27.51
Samsung,8,44800.0,37000.0,31394.13,3900.0,98000.0,30500.0,56875.0,70.08
Sk,8,27875.0,28000.0,15036.6,2800.0,49900.0,19425.0,34800.0,53.94
Lunettes,7,9457.14,8900.0,2887.82,7800.0,15900.0,7900.0,8900.0,30.54
Pack,7,24592.86,24900.0,9342.98,5900.0,34350.0,22900.0,30600.0,37.99
Tp-Link,7,17870.0,12900.0,13219.95,1490.0,39900.0,12500.0,22900.0,73.98
Kit,6,11000.0,7900.0,9586.45,2500.0,29900.0,7900.0,9400.0,87.15
Ouri,6,21166.67,21000.0,1602.08,19000.0,23000.0,20250.0,22500.0,7.57
MSI,6,11379.33,2499.0,18631.88,1199.0,48500.0,1809.0,9624.75,163.73
Hyperx,5,60780.0,69000.0,40538.15,17900.0,99000.0,19000.0,99000.0,66.7
Autre,5,14629.8,7400.0,13465.68,3900.0,34350.0,4599.0,22900.0,92.04
Crucial,5,6605.2,1879.0,10244.07,1379.0,24900.0,1879.0,2989.0,155.09
Adata,5,14182.2,1605.0,28353.9,1213.0,64900.0,1213.0,1980.0,199.93
Desktop,5,14680.0,15900.0,3246.84,9900.0,17800.0,12900.0,16900.0,22.12
E-Table,4,19400.0,18400.0,3109.13,16900.0,23900.0,17650.0,20150.0,16.03
Tables,4,30175.0,22900.0,20318.36,15900.0,59000.0,15900.0,37175.0,67.34
Gaming,4,4400.0,3900.0,1914.85,2900.0,6900.0,2900.0,5400.0,43.52
Caméra,4,24050.0,23400.0,8129.58,14900.0,34500.0,20150.0,27300.0,33.8
Lecteur,3,32800.0,35000.0,4250.88,27900.0,35500.0,31450.0,35250.0,12.96
Laptop,3,23233.33,24900.0,2886.75,19900.0,24900.0,22400.0,24900.0,12.43
Rio,3,9066.67,9900.0,1443.38,7400.0,9900.0,8650.0,9900.0,15.92
Microphone,3,18233.33,19900.0,7637.63,9900.0,24900.0,14900.0,22400.0,41.89
General,3,16233.33,12800.0,7651.36,10900.0,25000.0,11850.0,18900.0,47.13
Adventure,3,3900.0,3900.0,0.0,3900.0,3900.0,3900.0,3900.0,0.0
Neutrogena,3,12033.33,9600.0,5105.23,8600.0,17900.0,9100.0,13750.0,42.43
Hybrok,2,71000.0,71000.0,39597.98,43000.0,99000.0,57000.0,85000.0,55.77
Rock,2,39000.0,39000.0,0.0,39000.0,39000.0,39000.0,39000.0,0.0
Hy510,2,6400.0,6400.0,2121.32,4900.0,7900.0,5650.0,7150.0,33.15
13,2,4900.0,4900.0,0.0,4900.0,4900.0,4900.0,4900.0,0.0
Jeu,2,4300.0,4300.0,848.53,3700.0,4900.0,4000.0,4600.0,19.73
Kerbal,2,24950.0,24950.0,5586.14,21000.0,28900.0,22975.0,26925.0,22.39
