title,price,currency,brand,source,link,image,search_query,page,is_gaming,date_scraped
"ASUS ROG STRIX-G16-G614PR-RV080WEAN 16 Pouces FHD Plus 165Hz Pc Portable (Processeur AMD R9-8940HX, 16GB DDR5, 1TB PCIe 4.0 NVMe SSD, NVIDIA GeForce RTX 5070 Ti GPU, Windows 11 Home) – Clavier AZERTY","1889,00",€,ASUS,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MToyNzg0NTI3ODM3OTczOTY1OjE3NzY4NjE3OTM6c3BfYXRmOjMwMTA0Mzc3MzcxOTEzMjo6MDo6&url=%2FASUS-STRIX-G16-G614PR-RV080WEAN-Portable-Processeur-R9-8940HX%2Fdp%2FB0F2V34H93%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776861793%26sr%3D8-1-spons%26aref%3Ddg0njLqAIj%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=dg0njLqAIj&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81GrCeuCzxL._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:22
"Lenovo IdeaPad Slim 3 15AMN8 - Ordinateur Portable 15.6'' FHD (AMD Ryzen 5 7520U, RAM 8Go, SSD 512Go, AMD Radeon 610M Graphics, Windows 11 Home) Clavier AZERTY Français - Gris","549,99",€,Lenovo,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MToyNzg0NTI3ODM3OTczOTY1OjE3NzY4NjE3OTM6c3BfYXRmOjMwMTA0Mzc3MzcyMDUzMjo6MDo6&url=%2FLenovo-IdeaPad-Slim-15AMN8-Ordinateur%2Fdp%2FB0FRG6WFZM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776861793%26sr%3D8-2-spons%26aref%3DBx96VnSuKn%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Bx96VnSuKn&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71+LMEyfp5L._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:22
"ASUS Zenbook 14 UM3406KA-QDO74W 14 Pouces 1920x1200 60Hz OLED Pc Portable (processeur AMD Ryzen AI 7 350, 16GB LPDDR5X, 512GB SSD, AMD Radeon Graphics, Windows 11 Home) – Clavier AZERTY","899,99",€,ASUS,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MToyNzg0NTI3ODM3OTczOTY1OjE3NzY4NjE3OTM6c3BfYXRmOjMwMTA0Mzc3MzcxODkzMjo6MDo6&url=%2FASUS-UM3406KA-QDO74W-1920x1200-Portable-processeur%2Fdp%2FB0BSWVPLPY%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776861793%26sr%3D8-3-spons%26aref%3DHShgOMLYUz%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=HShgOMLYUz&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71hPqRPEMML._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
"Dell 16 PC Portable DC16255 AMD Ryzen 7 250, 16"" 2K (1920x1200) Antireflet, AMD Radeon, 16 Go RAM DDR5, 1 to SSD, Windows 11 Home, Clavier rétroéclairé AZERTY – Carbon Black","969,00",€,Dell,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MToyNzg0NTI3ODM3OTczOTY1OjE3NzY4NjE3OTM6c3BfYXRmOjMwMTA0Mzc3MzcyMDgzMjo6MDo6&url=%2FDell-Portable-1920x1200-Antireflet-r%25C3%25A9tro%25C3%25A9clair%25C3%25A9%2Fdp%2FB0FP2VBB81%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776861793%26sr%3D8-4-spons%26aref%3DNvGnyXsvou%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=NvGnyXsvou&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71hIApILwoL._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
"Dell 15 Laptop DC15255 – 15.6"" FHD 120Hz, AMD Ryzen 7 7730U, 16GB RAM, 1TB SSD, AMD Radeon Graphics, HD Webcam, Windows 11 Home, AZERTY Keyboard, Carbon Black","759,00",€,Dell,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MToyNzg0NTI3ODM3OTczOTY1OjE3NzY4NjE3OTM6c3BfYXRmOjMwMTA0Mzc3MzcyMTAzMjo6MDo6&url=%2FDell-15-Laptop-DC15255-Graphics%2Fdp%2FB0FBDCZLNP%2Fref%3Dsr_1_5_sspa%3Fdib%3DeyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1776861793%26sr%3D8-5-spons%26aref%3DeF5v2jd4za%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=eF5v2jd4za&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71N+Xwyd0+L._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
"Acer Aspire 1 A115-32-C3AK Ordinateur Portable 15,6'' Full HD, PC Portable (Intel Celeron N4500, RAM 4 Go, 128 Go eMMC, Intel UHD Graphics, Windows 11 ) - Clavier AZERTY (Français), Laptop Gris","309,27",€,Acer,Amazon,https://www.amazon.fr/Acer-A115-32-C3AK-Ordinateur-Portable-Celeron%C2%AE/dp/B0B1QDNQMF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI&dib_tag=se&keywords=laptop&qid=1776861793&sr=8-6,https://m.media-amazon.com/images/I/81PoGjMMHWL._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
Microsoft Surface Laptop | Copilot+ PC | Ecran Tactile LCD 13”| Snapdragon® X Plus | 16Go RAM | Stockage 256Go | Dernier Modèle | Platine,"990,61",€,Microsoft,Amazon,https://www.amazon.fr/Microsoft-Surface-Copilot-Snapdragon%C2%AE-Stockage/dp/B0DYF2CGX3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI&dib_tag=se&keywords=laptop&qid=1776861793&sr=8-7,https://m.media-amazon.com/images/I/61FuyZbI7EL._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
"Dell 16 PC Portable DC16255 AMD Ryzen 7 250, 16"" 2K (1920x1200) Antireflet, AMD Radeon, 16 Go RAM DDR5, 1 to SSD, Windows 11 Home, Clavier rétroéclairé AZERTY – Carbon Black","969,00",€,Dell,Amazon,https://www.amazon.fr/Dell-Portable-1920x1200-Antireflet-r%C3%A9tro%C3%A9clair%C3%A9/dp/B0FP2VBB81/ref=sr_1_8?dib=eyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI&dib_tag=se&keywords=laptop&qid=1776861793&sr=8-8,https://m.media-amazon.com/images/I/71hIApILwoL._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
"Microsoft Surface Laptop | Copilot+ PC | Ecran Tactile 13.8” | Snapdragon® X Elite | 16Go RAM | SSD 1To | Dernier Modèle, 7ème Edition | Noir","1299,99",€,Microsoft,Amazon,https://www.amazon.fr/Microsoft-Surface-Copilot-tactile-Snapdragon%C2%AE/dp/B0D1YH5Z3J/ref=sr_1_9?dib=eyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI&dib_tag=se&keywords=laptop&qid=1776861793&sr=8-9,https://m.media-amazon.com/images/I/51T9X6OH3vL._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
"acer Chromebook 315 CB315-4H-C7R0, Ordinateur Portable 15,6'' Full HD, PC Portable (Intel Celeron N4500, RAM 4Go, 128Go eMMC, Intel UHD Graphics, ChromeOS), Laptop Gris, Clavier AZERTY (Français)","199,00",€,acer,Amazon,https://www.amazon.fr/Chromebook-CB315-4H-C7R0-Ordinateur-Portable-Fran%C3%A7ais/dp/B0CTR5P9ZY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.XTMYyyx5GHJiQJq_j1VBiqXbCGHpEM6b0IfKsfGfLcp5Mj4XprHmMx_Kyu69gDzHu_KjlD6RZofw9DuSK1lmJhcivxoFVH8ShjkNHd_DweySYf3pyNPfOAqfMROmRCah2dwauwJsoRDKsfg13FCFXWEUPIq-luvFbdIg133GLisJcLcnTIc7zvKFuykPAiXtLRnwBAEApuZSC_KmZ8-Ij60l2TZABa8KBoaADIMIURoTo_I-VH8X3rQMxd8iCT2oAWurmnBpyEa7puCpnKUEv1F7kiEwpGp35GePzxgmlC8.33jziaqQRcdIegBxP-mC2JnyLG01qyr27cuDKuI0bAI&dib_tag=se&keywords=laptop&qid=1776861793&sr=8-10,https://m.media-amazon.com/images/I/819kfzvx9ZL._AC_UL320_.jpg,laptop,1,False,2026-04-22 14:43:23
