title,price,brand,source,link,image,search_query,page,is_gaming,date_scraped
Hp PC PORTABLE HP ELITEBOOK 840 G5 8ÉME GÉN-CORE I5-8Go-256 Go SSD-Remise à neuf,299900,Hp,Jumia,https://www.jumia.ma/hp-pc-portable-hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remise-a-neuf-56142409.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/424165/1.jpg?6248,pc portable,1,False,2026-04-19 00:28:34
Samsung RAM PC Portable 8GB PC4 2400T Pour Ordinateur Portable Mémoire Vive RAM,35000,Samsung,Jumia,https://www.jumia.ma/samsung-ram-pc-portable-8gb-pc4-2400t-pour-ordinateur-portable-memoire-vive-ram-63510846.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/801536/1.jpg?4663,pc portable,1,False,2026-04-19 00:28:34
"Table de d'ordinateur Portable pliant, Table de lit pour PC et repas pliable",12900,Table,Jumia,https://www.jumia.ma/generic-table-de-dordinateur-portable-pliant-table-de-lit-pour-pc-et-repas-pliable-65924610.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/642956/1.jpg?5606,pc portable,1,False,2026-04-19 00:28:34
SK Hynix RAM 8 Go de Memoire DDR3 PC3L-12800S Pour PC Portable,18000,SK,Jumia,https://www.jumia.ma/sk-hynix-ram-8-go-de-memoire-ddr3-pc3l-12800s-pour-pc-portable-66371804.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/817366/1.jpg?8976,pc portable,1,False,2026-04-19 00:28:34
Hp PC PORTABLE EliteBook 840-CORE INTEL i5-RAM 8Go- 256Go SSD -garantie de 6 mois - remise à neuf,199900,Hp,Jumia,https://www.jumia.ma/pc-portable-elitebook-840-core-intel-i5-ram-8go-256go-ssd-garantie-de-6-mois-remise-a-neuf-hp-mpg1555183.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/222576/1.jpg?7028,pc portable,1,False,2026-04-19 00:28:34
"Table pliable pour PC portable, Bureau, Plateau de Petit-déjeuner lit et canapé",17900,Table,Jumia,https://www.jumia.ma/generic-table-pliable-pour-pc-portable-bureau-plateau-de-petit-dejeuner-lit-et-canape-67286644.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/668276/1.jpg?0606,pc portable,1,False,2026-04-19 00:28:34
Lenovo PC PORTABLE THINKPAD L570P-I5-6TH GENERATION-8G-256Go SSD-AZERTY-REMIS A NEUF,198900,Lenovo,Jumia,https://www.jumia.ma/lenovo-pc-portable-thinkpad-l570p-i5-6th-generation-8g-256go-ssd-azerty-remis-a-neuf-64867462.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/476846/1.jpg?8806,pc portable,1,False,2026-04-19 00:28:34
Lenovo PC PORTABLE Thinkpad T470 Core i5 -6ème Génération RAM 16GB 256 SSD -Remis a Neuf,300000,Lenovo,Jumia,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t470-core-i5-6eme-generation-ram-16gb-256-ssd-remis-a-neuf-61184792.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/748116/1.jpg?4122,pc portable,2,False,2026-04-19 00:28:40
SK Hynix 2 Memoire RAM 2x 8 Go = 16GB DDR3 PC3L-12800S Pour PC Portable,27000,SK,Jumia,https://www.jumia.ma/sk-hynix-2-memoire-ram-2x-8-go-16gb-ddr3-pc3l-12800s-pour-pc-portable-67105618.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/650176/1.jpg?8325,pc portable,2,False,2026-04-19 00:28:40
"Kit Tournevis Précision 115 en 1 – Outils de Réparation Magnétique pour Téléphone, PC, Ordinateur Portable & Électronique",7900,Kit,Jumia,https://www.jumia.ma/generic-kit-tournevis-precision-115-en-1-outils-de-reparation-magnetique-pour-telephone-pc-ordinateur-portable-electronique-67659140.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/195676/1.jpg?7285,pc portable,2,False,2026-04-19 00:28:40
