title,price,old_price,currency,brand,category,source,link,image,search_query,page,in_stock,is_gaming,date_scraped
"Trust Souris sans Fil Silencieuse avec Pile pour Gauchers et Droitiers, 800-1600 DPI, 83% Plastique Recyclé, Récepteur USB Stockable, Mouse Compacte pour Ordinateur Portable, PC, Mac - Noir","7,49","11,16",EUR,Trust,mouse,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo3NjQxNTAwOTY3ODUyOTM4OjE3Nzc1OTQzNTE6c3BfYXRmOjMwMDExNzgwNjI0MzczMjo6MDo6&url=%2FTrust-Silencieuse-Droitiers-Plastique-Ordinateur%2Fdp%2FB0CQ8TWP89%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE%26dib_tag%3Dse%26keywords%3Dsouris%26qid%3D1777594351%26sr%3D8-1-spons%26aref%3D3NYUBB9E7O%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=3NYUBB9E7O&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71k3e6hZCML._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:40
"Bluestork - Souris sans Fil Ergonomique et Verticale pour gauchers, Bluetooth ou récepteur USB, 800-2400 DPI, 6 Boutons, LED RGB, Prévention Syndrome de la Souris - PC/Mac/IPAD/Tablette - GAUCHERS","19,95","21,99",EUR,Bluestork,mouse,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo3NjQxNTAwOTY3ODUyOTM4OjE3Nzc1OTQzNTE6c3BfYXRmOjMwMDYwMzQwNjQ1NjIzMjo6MDo6&url=%2FBluestork-Ergonomique-Verticale-Bluetooth-Pr%25C3%25A9vention%2Fdp%2FB0D8LDRMR7%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE%26dib_tag%3Dse%26keywords%3Dsouris%26qid%3D1777594351%26sr%3D8-2-spons%26aref%3D1AHGkvsWYI%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=1AHGkvsWYI&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71718E6RtjL._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:40
"The G-Lab - Kult Helium Souris Gamer Filaire USB - Capteur Optique 800 à 6400 DPI, Rétroéclairage LED 7 Couleurs, 6 Boutons - Souris Gaming Confortable et Légère - Compatible PC PS4 Xbox One PS5","9,79","14,99",EUR,The,mouse,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo3NjQxNTAwOTY3ODUyOTM4OjE3Nzc1OTQzNTE6c3BfYXRmOjIwMDYwMDk2Mzg2MjA0OjowOjo&url=%2FG-Lab-KULT-HELIUM-Souris-gaming-r%25C3%25A9tro%25C3%25A9clair%25C3%25A9e%2Fdp%2FB07DNZNGNB%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE%26dib_tag%3Dse%26keywords%3Dsouris%26qid%3D1777594351%26sr%3D8-3-spons%26aref%3D1mmfpXZ5Dp%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=1mmfpXZ5Dp&sp_cr=ZAZ,https://m.media-amazon.com/images/I/618YSUJ31IL._AC_UL320_.jpg,souris,1,True,True,2026-05-01 02:12:40
"The G-Lab – Kult Cobalt - Souris Gamer Filaire USB - Capteur Ultra Réactif jusqu'à 12800 DPI, Légère, 6 Boutons, RGB Ajustable - Souris Gaming 100% Personnalisable - PC/PS4/PS5/Xbox - New","14,83",N/A,EUR,The,mouse,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo3NjQxNTAwOTY3ODUyOTM4OjE3Nzc1OTQzNTE6c3BfYXRmOjMwMDkwNDE5NTc3OTczMjo6MDo6&url=%2FG-Lab-Filaire-Capteur-Ajustable-Personnalisable%2Fdp%2FB0DK9G6HWX%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE%26dib_tag%3Dse%26keywords%3Dsouris%26qid%3D1777594351%26sr%3D8-4-spons%26aref%3DIGULOFXgZ3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=IGULOFXgZ3&sp_cr=ZAZ,https://m.media-amazon.com/images/I/619wljJ9PDL._AC_UL320_.jpg,souris,1,True,True,2026-05-01 02:12:40
"Cherry MW 3000, Souris Ergonomique sans Fil pour Droitier, 2.4 GHz RF, 6 Boutons, Capteur Optique, Panneaux Latéraux Caoutchoutés, Fonctionne sur Batterie, Noir","25,49","25,49",EUR,Cherry,mouse,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo3NjQxNTAwOTY3ODUyOTM4OjE3Nzc1OTQzNTE6c3BfYXRmOjMwMDI5MjE5MDY4MTkzMjo6MDo6&url=%2FErgonomique-Droitier-Panneaux-Caoutchout%25C3%25A9s-Fonctionne%2Fdp%2FB007NUV7MA%2Fref%3Dsr_1_5_sspa%3Fdib%3DeyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE%26dib_tag%3Dse%26keywords%3Dsouris%26qid%3D1777594351%26sr%3D8-5-spons%26aref%3DSha78U4sPz%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Sha78U4sPz&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81INepnhyeL._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:41
"Logitech M185 Souris sans Fil, 2.4 GHz avec Mini Récepteur USB, Longévité de la Pile 12 Mois, Résolution du Capteur 1000 PPP, Ambidextre, Compatible PC, Mac, Ordinateur Portable - Gris/Noir","11,99","14,99",EUR,Logitech,mouse,Amazon,https://www.amazon.fr/Logitech-R%C3%A9solution-Ambidextre-Compatible-Ordinateur/dp/B00552K0GM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE&dib_tag=se&keywords=souris&qid=1777594351&sr=8-6,https://m.media-amazon.com/images/I/51WN5aXZWIL._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:41
"Amazon Basics Souris filaire USB à 3 boutons, Standard, silencieuse, noire","6,99","8,98",EUR,Amazon,mouse,Amazon,https://www.amazon.fr/Amazon-Basics-3-Button-Wired-Quiet/dp/B08P6FXKP9/ref=sr_1_7?dib=eyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE&dib_tag=se&keywords=souris&qid=1777594351&sr=8-7,https://m.media-amazon.com/images/I/718VRyryjVS._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:41
T'nB Souris Shark - Souris Optique Filaire - Noir,"5,99",N/A,EUR,T'nB,mouse,Amazon,https://www.amazon.fr/TnB-SROPSHARK1-Souris-optique-filaire/dp/B0044AG7Y0/ref=sr_1_8?dib=eyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE&dib_tag=se&keywords=souris&qid=1777594351&sr=8-8,https://m.media-amazon.com/images/I/41bn5K+ncUL._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:41
"Trust Souris sans Fil Silencieuse avec Pile pour Gauchers et Droitiers, 800-1600 DPI, 83% Plastique Recyclé, Récepteur USB Stockable, Mouse Compacte pour Ordinateur Portable, PC, Mac - Noir","7,49","11,16",EUR,Trust,mouse,Amazon,https://www.amazon.fr/Trust-Silencieuse-Droitiers-Plastique-Ordinateur/dp/B0CQ8TWP89/ref=sr_1_9?dib=eyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE&dib_tag=se&keywords=souris&qid=1777594351&sr=8-9,https://m.media-amazon.com/images/I/71k3e6hZCML._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:41
Amazon Basics Souris sans fil ergonomique - DPI réglables - Noir,"12,79",N/A,EUR,Amazon,mouse,Amazon,https://www.amazon.fr/AmazonBasics-Souris-sans-fil-ergonomique/dp/B0787D6SGQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.f8M9qcPxFFGnXhc6a4LWNs7UDetQlsyXsD-bFHBywwYFnat474O48NR8IpXVvXU1eGgYuC9dxCBphsLbG-DRjR7wIHabBFAWqizphScKMzo1mJx4uWRvKv6TaBT6INmmsj7EpYlnItHvdQQW82vte9TAUSV3MYE4169S2Wfp_2N3eQJsCfDCU_kskhyAraKEYhY5oOymg2cDpsGLulN-z0M8ROq6TjF7jkcWTbB5aYkJ-Ku-_Qv10rnv73SksRhe0S4G-Wcdl_MRmBu46l0jelvDnvRfSuM4aYnSj2vwa2U.zhi1tPrR8BwgV7uA8fYCHyDsL2ST20byMZGHzAoHwFE&dib_tag=se&keywords=souris&qid=1777594351&sr=8-10,https://m.media-amazon.com/images/I/61zntkiLcuL._AC_UL320_.jpg,souris,1,True,False,2026-05-01 02:12:41
