title,price,currency,brand,category,source,link,image,search_query,page,in_stock,is_gaming,date_scraped
"Universal Laptop Stand for All Notebooks - Compatible with MacBook Pro 13/15, MacBook Air, Lenovo, Samsung/More",27.96,MAD,Universal,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005006861148059.html?algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-1&pdp_ext_f=%7B%22order%22%3A%2220782%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006861148059%22%2C%22orig_item_id%22%3A%221005012041712353%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21135.65%2127.96%21%21%2192.94%2119.15%21%40211b61a417777252299963651e11a3%2112000038542435927%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=pxnxgpwW06hD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006861148059%7C_p_origin_prod%3A1005012041712353,https://ae-pic-a1.aliexpress-media.com/kf/S4b84a8af452243258920876fe1582479U.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:11
Laptop Stand For Macbook Folding Adjustable Aluminum Computer Pc Tablet Stand Notebook Tablelaptop Holder Heat Dissipation,308.35,MAD,Laptop,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005012014002561.html?algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-2&pdp_ext_f=%7B%22order%22%3A%222628%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012014002561%22%2C%22orig_item_id%22%3A%221005010136643136%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21696.44%21308.35%21%21%21477.18%21211.27%21%40211b61a417777252299963651e11a3%2112000057287156898%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=3EB34q6gsWEK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012014002561%7C_p_origin_prod%3A1005010136643136,https://ae-pic-a1.aliexpress-media.com/kf/S69189865de314f16aaf25126a8490f7ak.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:11
New Laptop Cooler Base Stand Foldable Laptop Cooling Pad Portable Adjustable Notebook Stand for 13-17.3 Inch with 4 Fans,365.03,MAD,New,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005006861921132.html?aem_p4p_detail=202605020533501129857754060880006219091&algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-3&pdp_ext_f=%7B%22order%22%3A%221504%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006861921132%22%2C%22orig_item_id%22%3A%221005007254097884%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21809.79%21365.03%21%21%21554.84%21250.10%21%40211b61a417777252299963651e11a3%2112000038545781586%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=KXGv4ki3Dfe5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006861921132%7C_p_origin_prod%3A1005007254097884&search_p4p_id=202605020533501129857754060880006219091_1,https://ae-pic-a1.aliexpress-media.com/kf/S2bb8d97e6c954250b9b60805d59ba259U.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:11
Adjustable Aluminum Alloy Laptop Holder Notebook Stand Lifting Cooling Bracket For Macbook Lenovo Portable Computer Accessories,115.24,MAD,Adjustable,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005006863862389.html?algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-4&pdp_ext_f=%7B%22order%22%3A%2214250%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005006863862389%22%2C%22orig_item_id%22%3A%221005010115640835%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21310.23%21115.24%21%21%21212.56%2178.96%21%40211b61a417777252299963651e11a3%2112000038553204448%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=OzWSX5gY3dif&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006863862389%7C_p_origin_prod%3A1005010115640835,https://ae-pic-a1.aliexpress-media.com/kf/Sb678dce7955a44feabcf559bb4a2e27bq.png_480x480.png_.avif,laptop stand,2,True,False,2026-05-02 14:34:11
Portable Magnetic Phone Holder & Selfie Stick 3-in-1 Foldable Tripod Stand for iPhone iPad Tablet Laptop Desktop Use,161.64,MAD,Portable,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005010778352294.html?algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-5&pdp_ext_f=%7B%22order%22%3A%22206%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21419.81%21161.64%21%21%21287.64%21110.75%21%40211b61a417777252299963651e11a3%2112000053477954094%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=HvKnAT8uP8ms&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010778352294%7C_p_origin_prod%3A,https://ae-pic-a1.aliexpress-media.com/kf/Se295fadead5a42d9929ed914985817e7Z.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:11
Foldable Laptop Stand 7 Levels ABS Portable Tablet Computer Bracket Universal Pad PC Holder for Macbook Apple Air Pro Lenovo,68.33,MAD,Foldable,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005010239124550.html?algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-6&pdp_ext_f=%7B%22order%22%3A%223231%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21216.39%2168.33%21%21%21148.26%2146.81%21%40211b61a417777252299963651e11a3%2112000051644745850%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=Bh4gG25jq36o&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010239124550%7C_p_origin_prod%3A,https://ae-pic-a1.aliexpress-media.com/kf/S491d92bdb48d42e983d31dc25d2217f2p.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:11
"145cm Projector Tripod Stand Laptop Tripod Adjustable Height 23 to 63"" Standing Desk Outdoor Computer Desk Stand for Studio",193.85,MAD,145cm,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005005913697062.html?aem_p4p_detail=202605020533501129857754060880006219091&algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-7&pdp_ext_f=%7B%22order%22%3A%22257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21334.28%21193.85%21%21%2133.54%2119.45%21%40211b61a417777252299963651e11a3%2112000040028360987%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895&curPageLogUid=ahUG8YbmpaDY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005913697062%7C_p_origin_prod%3A&search_p4p_id=202605020533501129857754060880006219091_2,https://ae-pic-a1.aliexpress-media.com/kf/S44e17147a6414b1882e76f85c8d9022a8.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:12
4pcs/set OEM Bottom Case Rubber Feet Notebook Foot Pad for Macbook Replacement Black Foot Mat For Pro Retina A1398 A1425 A1502,17.59,MAD,4pcs/set,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005009322075146.html?algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-9&pdp_ext_f=%7B%22order%22%3A%22103%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21114.92%2117.59%21%21%2178.74%2112.05%21%40211b61a417777252299963651e11a3%2112000048745273030%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=a1m5qIL85hxU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009322075146%7C_p_origin_prod%3A,https://ae-pic-a1.aliexpress-media.com/kf/S0201c83500334a278cf69d76ba48a616F.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:12
ORICO Foldable Laptop Stand Aluminum Alloy 360 Adjustable Notebook Stand Up to 17 inch Laptop Folding Desktop Support Holder,351.13,MAD,ORICO,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005010543845830.html?aem_p4p_detail=202605020533501129857754060880006219091&algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-11&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%21480.99%21351.13%21%21%2148.26%2135.23%21%40211b61a417777252299963651e11a3%2112000052785539533%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895&curPageLogUid=1pIdOaC5B3s6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010543845830%7C_p_origin_prod%3A&search_p4p_id=202605020533501129857754060880006219091_3,https://ae-pic-a1.aliexpress-media.com/kf/S434e668eb63e46509dd26b3441a459dbO.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:12
"8 In 1 USB C Laptop Docking Station Stand With USB C, 2 USB 3.1, SD TF Card Ports,PD 100W, Universal Docking Station For MacBook",514.96,MAD,8,laptop_stand,AliExpress,https://www.aliexpress.com/item/1005010089104802.html?algo_pvid=22b5321d-3e50-42f6-a3de-00c8790236da&algo_exp_id=22b5321d-3e50-42f6-a3de-00c8790236da-12&pdp_ext_f=%7B%22order%22%3A%22815%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010089104802%22%2C%22orig_item_id%22%3A%221005011843178404%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21MAD%211109.66%21514.96%21%21%21760.30%21352.83%21%40211b61a417777252299963651e11a3%2112000051099342381%21sea%21MA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A42755c94%3Bm03_new_user%3A-29895%3BpisId%3A5000000204879097&curPageLogUid=d4kzAF8Tqzkh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010089104802%7C_p_origin_prod%3A1005011843178404,https://ae-pic-a1.aliexpress-media.com/kf/Sea2a5de6267c4555b9aaab428a2fef85C.jpg_480x480q75.jpg_.avif,laptop stand,2,True,False,2026-05-02 14:34:13
