title,price,currency,brand,category,source,link,image,search_query,page,in_stock,is_gaming,date_scraped
Support Réglable Pc Portable et Tablette,25500,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-reglable-pc-portable-et-tablette-67155198.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/155176/1.jpg?1396,support pc portable,1,True,False,2026-05-02 14:32:48
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",4200,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-pliable-pour-ordinateur-portable-mac-et-pc-en-aluminium-support-antiderapant-63466420.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/466436/1.jpg?4183,support pc portable,1,True,False,2026-05-02 14:32:48
"Support PC Portable, Téléphone et Tablette, Alliage Aluminium, Réglable",4500,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-pc-portable-telephone-et-tablette-alliage-aluminium-reglable-57115169.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/151175/1.jpg?2466,support pc portable,1,True,False,2026-05-02 14:32:48
"Support Ordinateur Portable Laptop Stand brocoon Support PC et Tablette réglable pour Pc Portable Convient aux de 10 à 17 Pouces, pivotant à 360° - Gris",17900,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-ordinateur-portable-laptop-stand-brocoon-support-pc-et-tablette-reglable-pour-pc-portable-convient-aux-de-10-a-17-pouces-pivotant-a-360-gris-66553774.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/735566/1.jpg?4271,support pc portable,1,True,False,2026-05-02 14:32:48
Support pliable universel pour ordinateurs portables et tablettes Rotatif,13800,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-pliable-universel-pour-ordinateurs-portables-et-tablettes-rotatif-65639846.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/893656/1.jpg?7244,support pc portable,1,True,False,2026-05-02 14:32:48
Support pour pc portable en aluminium,4900,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-pour-pc-portable-en-aluminium-61372965.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/927316/1.jpg?3805,support pc portable,1,True,False,2026-05-02 14:32:48
Support pour pc portable en aluminium ajustables en 7 positions multifonction,5400,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-pour-pc-portable-en-aluminium-ajustables-en-7-positions-multifonction-58375405.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/457385/1.jpg?8285,support pc portable,1,True,False,2026-05-02 14:32:48
"Support PC portable, Support Tablette Ergonomique en aluminium métallique pour ordinateur portable, rotation à 360°",13000,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-pc-portable-support-tablette-ergonomique-en-aluminium-metallique-pour-ordinateur-portable-rotation-a-360-67307564.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/570376/1.jpg?6645,support pc portable,1,True,False,2026-05-02 14:32:48
Owlenz Partagez ce produit Support PC Portable Réglable en Aluminium Pour Ordinateur et Macbook,26900,MAD,Owlenz,laptop_stand,Jumia,https://www.jumia.ma/owlenz-partagez-ce-produit-support-pc-portable-reglable-en-aluminium-pour-ordinateur-et-macbook-67219781.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/791276/1.jpg?6816,support pc portable,1,True,False,2026-05-02 14:32:48
"Support d'ordinateur pliable, support portable pour tablette, PC, ordinateur portable, support de levage, support de dissipation thermique",5900,MAD,Support,laptop_stand,Jumia,https://www.jumia.ma/generic-support-dordinateur-pliable-support-portable-pour-tablette-pc-ordinateur-portable-support-de-levage-support-de-dissipation-thermique-65660128.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/106656/1.jpg?4760,support pc portable,1,True,False,2026-05-02 14:32:48
