title,price,currency,brand,category,source,link,image,search_query,page,in_stock,is_gaming,date_scraped
"Lexar JumpDrive S80 Clé USB 32 Go, Cle USB 3.2, Jusqu'à 130 Mo/s en Lecture, Mémoire Stick, JumpDrive pour Ordinateur Portable/PC/Voiture (LJDS080032G-BNBAG)",12.99,EUR,Lexar,usb_flash_drive,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo2NzEwMTU4MTA2NjgzNTc0OjE3Nzc4MDA1OTM6c3BfYXRmOjMwMDk1ODg4MDMzODgzMjo6MDo6&url=%2FLexar-JumpDrive-Jusqu%25C3%25A0-Lecture-LJDS080032G-BNBAG%2Fdp%2FB08H1FPF6X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4%26dib_tag%3Dse%26keywords%3Dcl%25C3%25A9%2Busb%26qid%3D1777800593%26sr%3D8-1-spons%26aref%3Dr5LSufbsZn%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=r5LSufbsZn&sp_cr=ZAZ,https://m.media-amazon.com/images/I/71azbH0ywWL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:05
"SanDisk Ultra Flair 128 Go Flash Drive (Clé USB, des vitesses allant jusqu'à 150 Mo/s, USB 3.0, Protection par mot de passe, Un boîtier en métal élégant et resistant) Argent/Noir",24.0,EUR,SanDisk,usb_flash_drive,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo2NzEwMTU4MTA2NjgzNTc0OjE3Nzc4MDA1OTM6c3BfYXRmOjMwMDM1ODQ1OTc1NzAzMjo6MDo6&url=%2FSanDisk-vitesses-bo%25C3%25AEtier-%25C3%25A9l%25C3%25A9gant-resistant%2Fdp%2FB015CH1PJU%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4%26dib_tag%3Dse%26keywords%3Dcl%25C3%25A9%2Busb%26qid%3D1777800593%26sr%3D8-2-spons%26aref%3DcA0hsbRTa0%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=cA0hsbRTa0&sp_cr=ZAZ,https://m.media-amazon.com/images/I/51q1BJpgGkL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:06
"SanDisk Ultra Luxe 128 Go Flash Drive (Clé USB Type-A, USB 3.2 Gen 1 + USB 3.0 capable, Vitesse de lecture jusqu'à 400 Mo/s, Mot de passe, RescuePRO Deluxe, Un boîtier en métal) Argent",26.25,EUR,SanDisk,usb_flash_drive,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo2NzEwMTU4MTA2NjgzNTc0OjE3Nzc4MDA1OTM6c3BfYXRmOjMwMDk0MzI5MTY2ODUzMjo6MDo6&url=%2FSanDisk-Ultra-Luxe-128Go-jusqu%25C3%25A0%2Fdp%2FB07SYB38Q8%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4%26dib_tag%3Dse%26keywords%3Dcl%25C3%25A9%2Busb%26qid%3D1777800593%26sr%3D8-3-spons%26aref%3DZ6WZJIbQ4X%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Z6WZJIbQ4X&sp_cr=ZAZ,https://m.media-amazon.com/images/I/51jPauko63L._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:06
"SanDisk Ultra 128 Go Flash Drive, Clé USB 3.0, des vitesses allant jusqu'à 130 Mo/s, Noir",19.58,EUR,SanDisk,usb_flash_drive,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo2NzEwMTU4MTA2NjgzNTc0OjE3Nzc4MDA1OTM6c3BfYXRmOjMwMDM1ODQ1OTc1NjczMjo6MDo6&url=%2FSanDisk-Ultra-128-jusqu%25C3%25A0-130-Mo%2Fdp%2FB00P8XQPY4%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4%26dib_tag%3Dse%26keywords%3Dcl%25C3%25A9%2Busb%26qid%3D1777800593%26sr%3D8-4-spons%26aref%3DZZB25Ac3ht%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ZZB25Ac3ht&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61T85CGI4ZL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:06
"SanDisk 128 Go Cruzer Blade, Clé USB USB 2.0",17.29,EUR,SanDisk,usb_flash_drive,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo2NzEwMTU4MTA2NjgzNTc0OjE3Nzc4MDA1OTM6c3BfYXRmOjMwMDM1ODUyMjAxNDczMjo6MDo6&url=%2FCl%25C3%25A9-USB-SanDisk-Cruzer-Blade%2Fdp%2FB00RM1EC1S%2Fref%3Dsr_1_5_sspa%3Fdib%3DeyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4%26dib_tag%3Dse%26keywords%3Dcl%25C3%25A9%2Busb%26qid%3D1777800593%26sr%3D8-5-spons%26aref%3DneSyyFYVAu%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=neSyyFYVAu&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61DjwgS4cbL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:07
"SanDisk Ultra Dual Drive Go 128 Go Flash Drive, Clé USB 3.2, jusqu'à 400 Mo/s, Connecteurs USB Type-C et USB Type-A réversibles, Android smartphone stockage, Tablettes, Mac et PC, Noir",25.35,EUR,SanDisk,usb_flash_drive,Amazon,https://www.amazon.fr/SanDisk-connecteurs-r%C3%A9versibles-smartphones-tablettes/dp/B07YYJRXQR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4&dib_tag=se&keywords=cl%C3%A9+usb&qid=1777800593&sr=8-8,https://m.media-amazon.com/images/I/71qOWNxv4jL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:07
Kingston DataTraveler Exodia M Clé USB 3.2 Gen 1 DTXM/128GB - avec capuchon mobile (Noir + Rouge),0.0,EUR,Kingston,usb_flash_drive,Amazon,https://www.amazon.fr/Kingston-DataTraveler-Exodia-DTXM-128GB/dp/B0B1JL6SML/ref=sr_1_9?dib=eyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4&dib_tag=se&keywords=cl%C3%A9+usb&qid=1777800593&sr=8-9,https://m.media-amazon.com/images/I/619D8A7+ZbL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:07
Kingston DataTraveler Exodia M Clé USB 3.2 Gen 1 DTXM/64GB - avec capuchon mobile (Noir + Bleu),9.49,EUR,Kingston,usb_flash_drive,Amazon,https://www.amazon.fr/Kingston-DataTraveler-Exodia-DTXM-64GB/dp/B0B1JNDZ5J/ref=sr_1_10?dib=eyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4&dib_tag=se&keywords=cl%C3%A9+usb&qid=1777800593&sr=8-10,https://m.media-amazon.com/images/I/81bssiCW7TL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:08
SanDisk Clé USB 3.2 Ultra Curve 64 Go jusqu'à 100 Mo/s Noir,12.06,EUR,SanDisk,usb_flash_drive,Amazon,https://www.amazon.fr/SanDisk-Ultra-Curve-jusqu%C3%A0-Noir/dp/B0B42FNF15/ref=sr_1_11?dib=eyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4&dib_tag=se&keywords=cl%C3%A9+usb&qid=1777800593&sr=8-11,https://m.media-amazon.com/images/I/71ffdBVJEFL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:08
"Amazon Basics 128 GB Clé USB 3.1, vitesse de lecture maximale de 130 Mo/s, Noir",18.6,EUR,Amazon,usb_flash_drive,Amazon,https://www.amazon.fr/Amazon-Basics-Vitesse-Lecture-Maximale/dp/B0B6148YKN/ref=sr_1_12?dib=eyJ2IjoiMSJ9.AUZOJC8qqa69_a_E2w-NDliDnbBKGAtJTIAGGTwMW5AWP_7NHxYyH6NoDKUa2AQj8Spgmk8cwHySrNFpujejy3q5DHNFKPUhqzXUH8uAdbG-GsWVvyYdof8VKMKxt_iSkc0Bl03fKXGG2l3-bo5AbTp4_tQxvkUmyvJ43KJDiCETeqC-CtM6plKVVgniCf3pUDoQezoMo_5fNE3i6Z4LaQthkwllEsYctX_33IJh-ySzWsCAvq4QrQcaXepY4K1uotjUalMn6_Du4JZvClp_b3tjWvtW2--k4b7PadtTXMw.kq5kyr6mN1onySxDwZXn8jNsRy76LuDi2DPAYCgPOq4&dib_tag=se&keywords=cl%C3%A9+usb&qid=1777800593&sr=8-12,https://m.media-amazon.com/images/I/71RhxfozxvL._AC_UL320_.jpg,clé usb,1,True,False,2026-05-03 11:30:08
