title,price,currency,brand,category,source,link,image,search_query,page,in_stock,date_scraped
Sandisk CLE USB DOUBLE Connectique 128GB Ultra Dual Drive Go USB Type-C Flash Drive,23000,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-double-connectique-128gb-ultra-dual-drive-go-usb-type-c-flash-drive-67312435.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/421376/1.jpg?5280,cle usb,1,True,2026-05-03 11:29:22
Kingston Clé USB - 64GB - USB Pour Stockage - USB 3.2 - DataTraveler EXODIA,8900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-64gb-usb-pour-stockage-usb-3.2-datatraveler-exodia-kingston-mpg932956.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/523935/1.jpg?7285,cle usb,1,True,2026-05-03 11:29:22
Kingston Clé USB - 128GB - USB Pour Stockage - USB 3.2 - DataTraveler EXODIA,13400,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-128gb-usb-pour-stockage-usb-3.2-datatraveler-exodia-kingston-mpg1082218.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/659794/1.jpg?7511,cle usb,1,True,2026-05-03 11:29:22
Kingston Clé USB - 256GB - USB Pour Stockage - USB 3.2 - DataTraveler EXODIA,27500,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-256gb-usb-pour-stockage-usb-3.2-datatraveler-exodia-kingston-mpg1481830.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/473656/1.jpg?1566,cle usb,1,True,2026-05-03 11:29:22
"Sandisk Ultra Flair Clé USB 3.0 128 Go DataTraveler Flash Drive, Vitesse de lecture 150 Mo/s",14900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-flair-cle-usb-3.0-128-go-datatraveler-flash-drive-vitesse-de-lecture-150-mos-67312462.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/421376/1.jpg?6675,cle usb,1,True,2026-05-03 11:29:22
Verbatim Nano Clé Usb 64Gb  Usb 3.2 Gen 1 Drive // High Speed Data Transfer,9900,MAD,Verbatim,USB Flash Drive,Jumia,https://www.jumia.ma/verbatim-nano-cle-usb-64gb-usb-3.2-gen-1-drive-high-speed-data-transfer-65773963.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/937756/1.jpg?4485,cle usb,1,True,2026-05-03 11:29:22
KIOXIA Clé Usb 2.0 Capacité 32Gb Flash Drive // Stockage 32g DataTraveler TransMemory,7900,MAD,KIOXIA,USB Flash Drive,Jumia,https://www.jumia.ma/kioxia-cle-usb-2.0-capacite-32gb-flash-drive-stockage-32g-datatraveler-transmemory-63660037.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/006636/1.jpg?3904,cle usb,1,True,2026-05-03 11:29:22
Kingston Clé USB -DataTraveler 50 - 2.0/3.0/3.1 - 64 GB,9800,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/cle-usb-datatraveler-50-2.03.03.1-64-gb-kingston-mpg967291.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/759183/1.jpg?0765,cle usb,1,True,2026-05-03 11:29:22
Netac Clé USB 256 Go SSD USB 3.2 / USB-C Ultra rapide US5,34900,MAD,Netac,USB Flash Drive,Jumia,https://www.jumia.ma/netac-cle-usb-256-go-ssd-usb-3.2-usb-c-ultra-rapide-us5-67217086.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/071276/1.jpg?6995,cle usb,1,True,2026-05-03 11:29:22
KIOXIA Clé Usb 2.0 Capacité 64Gb Flash Drive // Stockage 64g DataTraveler TransMemory,9900,MAD,KIOXIA,USB Flash Drive,Jumia,https://www.jumia.ma/kioxia-cle-usb-2.0-capacite-64gb-flash-drive-stockage-64g-datatraveler-transmemory-63781458.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/418736/1.jpg?2623,cle usb,1,True,2026-05-03 11:29:22
Clé USB 3.0 - Stockage de données - (2 To),9900,MAD,Clé,USB Flash Drive,Jumia,https://www.jumia.ma/generic-cle-usb-3.0-stockage-de-donnees-2-to-67644863.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/844676/1.jpg?4560,cle usb,1,True,2026-05-03 11:29:22
Sandisk Ultra Fit 32GB Clé 32Go USB 3.1 Vitesse allant jusqu'à 130 Mo/s,8900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-ultra-fit-32gb-cle-32go-usb-3.1-vitesse-allant-jusqua-130-mos-65794345.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/349756/1.jpg?9923,cle usb,1,True,2026-05-03 11:29:22
Lenovo (2-IN-1) Clés USB /1900 Go/2 To (Type-c et usb),29900,MAD,Lenovo,USB Flash Drive,Jumia,https://www.jumia.ma/lenovo-2-in-1-cles-usb-1900-go2-to-type-c-et-usb-63928100.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/182936/1.jpg?0441,cle usb,1,True,2026-05-03 11:29:22
Sandisk CLE USB DOUBLE Connectique 64GB Ultra Dual Drive Go USB Type-C Flash Drive,17900,MAD,Sandisk,USB Flash Drive,Jumia,https://www.jumia.ma/sandisk-cle-usb-double-connectique-64gb-ultra-dual-drive-go-usb-type-c-flash-drive-67312438.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/421376/1.jpg?5806,cle usb,1,True,2026-05-03 11:29:22
Kingston Clé USB - 64GB - USB Pour Stockage - USB 3.2,9900,MAD,Kingston,USB Flash Drive,Jumia,https://www.jumia.ma/kingston-cle-usb-64gb-usb-pour-stockage-usb-3.2-65441190.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/114456/1.jpg?8896,cle usb,1,True,2026-05-03 11:29:22
